Code,Decoder,Error_rate,Shots,Fails,BP_hyperparams
n72k12d6,AutBP-36,0.005,7145000,673770,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.006,4050000,776467,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.007,2555000,844147,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.008,1940000,948840,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.009,1505000,967793,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.01,1285000,990407,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP+OSD0,0.0008,10000000,587,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP+OSD0,0.0009,10000000,898,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP+OSD0,0.001,10000000,1225,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP+OSD0,0.002,10000000,18051,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP+OSD0,0.003,10000000,103080,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP+OSD0,0.004,10000000,366628,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP+OSD0,0.005,10000000,957499,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP+OSD0,0.006,10000000,1967737,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP+OSD0,0.007,10000000,3358905,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP+OSD0,0.008,10000000,4930240,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP+OSD0,0.009,9660000,6226823,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP+OSD0,0.01,9160000,7062963,"{'maxiter': 1000, 'ms': 1.0, 'schedule': 'parallel'}"
